BPA,Address,Description,PTS Existing Units,PTS Proposed Units,Proposed Units,Net Units,Net Units Completed,ADU/Legalization Units,First Completion Date,Latest Completion Date,Extremely Low Income,Very Low Income,Low Income,Moderate Income,Affordable Units,Market Rate,Affordable Units Estimate,Supervisor District,Analysis Neighborhood,Planning Dist.,Plan Area,Form No.,Permit Type,Issued Date,Authorization Date,Zoning District,Project Affordability Type,BMR Reporting Year,BlockLot,PPTS Project ID
2.00203E+11,65 HILIRITAS AV,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",0,1,1,1,1,0,3/28/2018,3/28/2018,0,0,0,0,0,1,FALSE,8,Glen Park,7 - Central,,2,Site Permit,6/22/2016,10/28/2016,RH-1,,2018,7552022,2005.007
2.01311E+11,3420 18TH ST,ERECT NEW 16-UNIT 5-STORY RESIDENTIAL BLDG. MAHER ORDINANCE-EXTENDED IS NOT REQUIRED.,0,16,16,16,16,0,3/28/2018,3/28/2018,0,0,0,0,0,16,FALSE,9,Mission,8 - Mission,Mission (EN),2,Site Permit,5/8/2015,6/11/2015,NCT-MISSION,Inclu: Fee Payment,2018,3576090,2012.1572
2.01704E+11,415 07TH AV #0,"TO LEGALIZE GROUND FLOOR UNIT PER ORDINANCE 43-14, TO ADD STUDIO UNIT CONSITED OF KITCHEN AREA, DINNING AND SLEEPINT AREA. Sprinkler deferred, if required.",3,4,4,1,1,1,3/28/2018,3/28/2018,0,0,0,0,0,1,FALSE,1,Inner Richmond,1 - Richmond,,8,Full Building Permit,6/13/2017,6/13/2017,RM-1,,2018,1537003,
2.01605E+11,478 28TH AV,"LEGALIZE NON-CONFORMING 1ST FLOOR DWELLING UNIT PER ZONING PERMITTED. RENOVATION INCLUDING REBUILD REAR STAIR & UTILITY ROOM, ADD SIDE & REAR WINDOWS NOT VISIBLE FROM STREET, REMOVE NON-CONFORMING TRASH ENCLOSURE AT FRONT, ADD A FULL BATH TO 1ST FLOOR.",1,2,2,1,1,1,3/30/2018,3/30/2018,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Full Building Permit,9/20/2017,9/20/2017,RH-2,,2018,1459011,2016-006587PRJ
2.01404E+11,634 45TH AV,"TO ERECT 3 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING.",0,1,1,1,1,0,4/3/2018,4/3/2018,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,5/6/2015,2/10/2016,RH-1,,2018,1587032,2014.0502
2.0161E+11,1048 UNION ST,"ADDITION OF(1)(N) UNIT IN BASEMENT AS ALLOWED W/ SOFT STORY SEISMIC UPGRADE (REF PA 2016-0901-6620 PER ORD 162-16), AND CONVERSION OF (E) OFFICE TO (1) NEW UNIT AND REMODEL LAUNDRY AREA IN BASEMENT. ALL WORK IS WITHIN (E) BLD ENVELOPE. Total 2 new units. Sprinkler/alarm deferred.",20,22,22,2,2,1,4/3/2018,4/3/2018,0,0,0,0,0,2,FALSE,3,Russian Hill,3 - Northeast,,3,Full Building Permit,8/29/2017,8/29/2017,RM-2,,2018,0098005,2016-014091PRJ
2.00912E+11,223 14TH AV,One -story horizontal rear addition at ground level for new /second residential unit with rood deck above. Work to include remodelling of (E) kitchen and family room,1,2,2,1,1,0,4/4/2018,4/4/2018,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Site Permit,6/23/2010,4/5/2018,RH-2,,2018,1419003,
2.01703E+11,1601 ORTEGA ST,"ADD UNIT PER ORD #162-16. 1ST FLOOR UNIT ADDITION, CONVERT (E) (2) HALF BATH TO FULL BATH, ADD KITCHEN AT HALL AREA, ADD ENTRANCE DOOR AND FIX WINDOWS PER ORDINANCE 162-16",1,2,2,1,1,1,4/4/2018,4/4/2018,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,3,Full Building Permit,11/30/2017,11/30/2017,RH-1,,2018,2111001,2017-007401PRJ
2.01306E+11,80V BLAKE ST,ERECT NEW 4-STORY 2-FAMILY DWELLING BUILDING.,0,2,2,2,2,0,4/5/2018,4/5/2018,0,0,0,0,0,2,FALSE,2,Presidio Heights,1 - Richmond,,2,Site Permit,12/11/2015,6/24/2016,RH-2,,2018,1068003,2014-002866PRJ
2.01307E+11,579 39TH AV,"ERECT 3 STORIES, 1 BASEMENT,2 DWELLING UNITS.",0,2,2,2,2,0,4/5/2018,4/5/2018,0,0,0,0,0,2,FALSE,1,Outer Richmond,1 - Richmond,,2,Site Permit,7/15/2015,5/20/2016,RH-2,,2018,1505014,2012.1568
2.01502E+11,1110 YORK ST,ADD 2ND RESIDENTIAL UNIT. 1-STORY VERTICAL ADDITION. 3-STORY ADDITION TO THE SOUTH ELEVATION. PROVIDE HABITABLE SPACE TO THE REAR & THE GARAGE. PROVIDE 2ND PARKING SPACE IN GARAGE.,1,2,2,1,1,0,4/5/2018,4/5/2018,0,0,0,0,0,1,FALSE,9,Mission,8 - Mission,Mission (EN),3,Site Permit,6/17/2016,8/15/2016,RH-2,,2018,4209002,2015-001799PRJ
2.01503E+11,3134 BRODERICK ST,LEGALIZE (E) MULTI-UNIT BUILDING,3,4,4,1,1,1,4/5/2018,4/5/2018,0,0,0,0,0,1,FALSE,2,Marina,2 - Marina,,3,Full Building Permit,2/14/2017,2/14/2017,RH-3,,2018,0935007,2015-004500PRJ
2.01209E+11,685 FLORIDA ST,"ERECT 6 STORIES, TYPE 3, 4 RESIDENTIAL APTS BUILDING.",0,4,4,4,4,0,4/10/2018,4/10/2018,0,0,0,0,0,4,FALSE,9,Mission,8 - Mission,Mission (EN),1,Site Permit,12/13/2013,6/20/2014,UMU,,2018,4022022,2012.1312
2.01406E+11,77 CAINE AV,ERECT 3-STORY NEW SINGLE FAMILY RESIDENCE.,0,1,1,1,1,0,4/13/2018,4/13/2018,0,0,0,0,0,1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,2/1/2016,6/10/2016,RH-1,,2018,7047036,2014-000973PRJ
2.01406E+11,79 CAINE AV,"ERECT 3-STORY, 0 BASEMENT, NEW SINGLE FAMILY RESIDENCE.",0,1,1,1,1,0,4/13/2018,4/13/2018,0,0,0,0,0,1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,2,Site Permit,3/17/2016,6/10/2016,RH-1,,2018,7047035,2014-000974PRJ
2.01508E+11,1826 15TH ST,ADD UNIT PER ORDINANCE #30-15. ADDING A NEW DWELLING UNIT TO UNUSED STORAGE SPACE BEHIND GROUND FLOOR GARAGE. NOT LEGALIZING UNIT JUST ADD A NEW UNIT,2,3,3,1,1,1,4/13/2018,4/13/2018,0,0,0,0,0,1,FALSE,8,Mission,8 - Mission,Market and Octavia,3,Full Building Permit,12/2/2016,12/2/2016,RTO,,2018,3545097,2015-014338PRJ
2.0141E+11,4171 24TH ST,"CONSTRUCT NEW 4 STORIES, 1 BASEMENT, 5 UNITS MULTI-FAMILY RESIDENCE.",0,5,5,5,5,0,4/17/2018,4/17/2018,0,0,0,0,0,5,FALSE,8,Noe Valley,7 - Central,,1,Site Permit,6/22/2016,8/22/2016,NCD-24TH-NOE-VALLEY,,2018,6506032,2014-000437PRJ
2.0151E+11,1318 COLE ST,BELOW GARAGE ADDITION OF A 1 BEDROOM UNIT BEHIND A PARTIALLY BELOW GRADE (E) GARAGE. ELEC AND PLUMB WORK WILL BE PART OF THE SCOPE. THE PROJECT WILL REMOVE APPROX 438 CUBIC YARDS OF SOIL. SPRINKLER WORK UNDER SEPARATE PERMIT.,1,2,2,1,1,0,4/17/2018,4/17/2018,0,0,0,0,0,1,FALSE,8,Haight Ashbury,6 - Buena Vista,,3,Full Building Permit,4/26/2016,4/26/2016,RH-2,,2018,1286024,2015-018117PRJ
2.0141E+11,949 NATOMA ST,ERECT A FOUR STORY SIX RESIDENTIAL TYPE 5A CONST DWELLING BUILDING. COMPLIANCE W/ ORDINANCE NO. 156-13 IS NOT REQUIRED.,0,6,6,6,6,0,4/24/2018,4/24/2018,0,0,0,0,0,6,FALSE,6,South of Market,4 - Downtown,Western SoMa (EN),2,Site Permit,8/2/2016,12/30/2016,RED-MX,,2018,3510028,Multiple
2.01512E+11,4043 CESAR CHAVEZ ST,DEMOLISH 2 STORY SINGLE FAMILY DWELLING.,1,0,0,-1,-1,0,4/24/2018,4/24/2018,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,6,Full Building Permit,9/12/2017,9/12/2017,RH-2,,2018,6580035,2016-000075PRJ
2.01602E+11,2528 16TH AV,"LEGALIZAE (E) 1ST FL DWELLING UNIT INCLUDES A LIVING/DINING/KITCHEN ROOM, 2 BEDROOMS & 1 FULL BATH AS PER ORD #43-14.",1,2,2,1,1,1,4/24/2018,4/24/2018,0,0,0,0,0,1,FALSE,7,West of Twin Peaks,14 - Inner Sunset,,3,Full Building Permit,7/28/2016,7/28/2016,RH-1,,2018,2416013,2016-003075PRJ
2.01407E+11,1783 NOE ST,"DEMOLISH 2-STORY, 1 DWELLING UNIT BUILDING.",1,0,0,-1,-1,0,4/25/2018,4/25/2018,0,0,0,0,0,-1,FALSE,8,Glen Park,7 - Central,,6,Full Building Permit,4/20/2016,4/20/2016,RH-1,,2018,6652016A,Multiple
2.01407E+11,1783 NOE ST,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING UNIT BUILDING.",0,1,1,1,1,0,4/25/2018,4/25/2018,0,0,0,0,0,1,FALSE,8,Glen Park,7 - Central,,2,Site Permit,4/20/2016,7/13/2016,RH-1,,2018,6652016A,Multiple
2.01607E+11,2790 FOLSOM ST,TO COMPLY WITH NOV 201036094 TO LEGALIZE UNIT 6 TO 6A & 6B TO MAKE INTO 7 LEGAL UNITS. TO INCREASE FROM 6 UNIT TO 7 UNITS,6,7,7,1,1,1,4/26/2018,4/26/2018,0,0,0,0,0,1,FALSE,9,Mission,8 - Mission,Mission (EN),3,Full Building Permit,3/3/2017,3/3/2017,NCT-24TH-MISSION,,2018,3641068,2016-010106PRJ
2.01607E+11,225 HARTFORD ST,"UNIT LEGALIZATION ORDIANCE# 43-14. CHANGES TO LEGALIZE (E) UNPERMITTED 1ST FL UNIT. REMOVE PROP LINE WINDOW, MODIFY INTERIOR TO COMPLY WITH EGRESS CODE, MODFIY WINDOWS FOR LIGHT & AIR, MODIFY HEATING SYSTEM TO REMOVE DUCTS FOR LEGAL CEILING HEIGHT. REF 201301271, ITEM 4.",4,5,5,1,1,1,4/26/2018,4/26/2018,0,0,0,0,0,1,FALSE,8,Castro/Upper Market,7 - Central,,3,Full Building Permit,5/19/2017,5/19/2017,RH-3,,2018,3602036,2016-008547PRJ
2.01608E+11,552 BOWDOIN ST,"LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT, UNIT LEGALIZATION ORD 43-14. LEGALIZE EXISTING KITCHEN AND CONSTRUCTION NEW HALLWAY, ALL WORK AT GROUND FLOOR.",1,2,2,1,1,1,4/26/2018,4/26/2018,0,0,0,0,0,1,FALSE,9,Portola,12 - South Central,,3,Full Building Permit,12/29/2016,12/29/2016,RH-1,,2018,5932006,2016-011512PRJ
2.0151E+11,1271A 24TH AV,"PER ORDINANCE# 43-14, LEGALIZATION OF DWELLING  UNIT. UNIT EXISTS ON GR FL, COVERTED FROM RECREATION ROOM",2,3,3,1,1,1,4/27/2018,4/27/2018,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,15 - Outer Sunset,,3,Full Building Permit,7/18/2016,7/18/2016,RH-2,,2018,1726015,2015-014529PRJ
2.0161E+11,1 COUNTRY CLUB DR,CONVERSION OF (E) UNCONDITIONED LOWER FLOOR GARAGE & STORAGE SPACE INTO (N) CONDITIONED ACCESSORY DWELLING UNIT.,1,2,2,1,1,1,4/27/2018,4/27/2018,0,0,0,0,0,1,FALSE,4,Sunset/Parkside,13 - Ingleside,,3,Site Permit,5/4/2017,6/5/2017,RH-1(D),,2018,7275017,2016-014276PRJ
2.01612E+11,626A 29TH ST,UNIT LEGALIZATION PER ORDINANCE# 43-14. LEGALIZE KITCHEN - MEP WORK. WASHER/DRYER HOOK UP. OUTDOOR./MEP. DRAINAGE FOR RECYCLED WATER.,1,2,2,1,1,1,4/30/2018,4/30/2018,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,3,Full Building Permit,10/5/2017,10/5/2017,RH-1,,2018,7536009,2017-000904PRJ
2.01705E+11,797 VICTORIA ST,"COMPLY W/ COMPLAINT #201776386, UNIT LEGALIZATION ORD# 43-14, LEGALIZATION OF DWELLING UNIT INSTALL WITHOUT PERMIT,. LEGALIZE (E) KITCHEN, BEDROOMS & TWO BATHROOM. ALL WORK AT GROUND FLOOR.",1,2,2,1,1,1,5/1/2018,5/1/2018,0,0,0,0,0,1,FALSE,7,West of Twin Peaks,13 - Ingleside,,3,Full Building Permit,1/2/2018,1/2/2018,RH-1(D),,2018,6921001,2017-006823PRJ
2.01511E+11,463 SUNRISE WY,"LEGALIZE AS-BUILT UNIT (#1) ON 1ST FLOOR PER PLAN. (2) BEDROOMS, (1) BATHROOM, KITCHEN.",1,2,2,1,1,1,5/3/2018,5/3/2018,0,0,0,0,0,1,FALSE,10,Visitacion Valley,12 - South Central,Visitacion Valley,3,Full Building Permit,3/7/2016,3/7/2016,RH-1,,2018,6374028,2015-015854PRJ
2.01608E+11,2750 GEARY BL,"DEMOLITION OF SELECT INTERIOR WALL TO CREATE 18 BEDROOMS, 16 BATH FOR MEMORY CARE RESIDENCE. CONNECT 2 WOOD FRAME BLDGS, CONNECT CORRIDORS TO E G TYPE 1 MAIN BLDG, BUILD UP FLOORS OF TYPE 5 BLDG TO ALIGN WITH MAIN BLDG, INCLUDING RAMPS FOR LEVEL CHG, NEW MECH,PLUMB, ELEC FOR NEW UNITS /2 NEW STAIRS,",76,94,94,18,18,0,5/3/2018,5/3/2018,0,0,0,0,0,18,FALSE,2,Presidio Heights,1 - Richmond,,3,Full Building Permit,1/19/2017,1/19/2017,NCD-GEARY BOULEVARD,,2018,1070001A,
2.01708E+11,927 HAYES ST,"ADDITION OF NEW UNIT. CONVERT 1646 SQ FT OF STORAGE TO NEW 1646 SQ FT UNIT. NEW 99 SQ FT PATIO. FLOOR PLAN LAYOUT CHANGE ON 2ND,3RD, 4TH FLOOR. NEW UNIT ADDRESS IS 927 HAYES STREET.",2,3,3,1,1,0,5/3/2018,5/3/2018,0,0,0,0,0,1,FALSE,5,Hayes Valley,5 - Western Addition,,3,Full Building Permit,10/12/2017,10/12/2017,RM-1,,2018,0822036,
2.01609E+11,1555 GREENWICH ST,ADD (1) UNIT = STUDIO UNIT WITH 1 KTICHEN & 1 BATHROOM PER ORD 30-15. SOFT STORY APPROVED PER #2016-0817-5224.,12,13,13,1,1,1,5/4/2018,5/4/2018,0,0,0,0,0,1,FALSE,2,Marina,2 - Marina,,3,Full Building Permit,5/23/2017,5/23/2017,RM-2,,2018,0522013,2016-013460PRJ
2.01609E+11,2127 TAYLOR ST,"REAR BLDG. PER UNIT LEGALIZATION ORDINANCE# 43-14. LEGALIZATION OF UNIT# 7 ON 1ST FLOOR OF 2131 TAYLOR LOCATED IN REAR BUILDING. 1 BED, 1 BATH, 1 KITCHEN.",2,3,3,1,1,1,5/4/2018,5/4/2018,0,0,0,0,0,1,FALSE,3,Russian Hill,3 - Northeast,,3,Full Building Permit,5/5/2017,5/5/2017,RM-1,,2018,0073003,2016-013402PRJ
2.01509E+11,2941 GOUGH ST #0,PROPOSED NEW STUDIO GROUND FLOOR UNIT #9 AS PART OF SOFT STORY UPGRADE (UNDER CONSTRUCTION) APPL #2014-12-29-4624. UNIT TO BE SERVED VIA HOUSE GAS METER.,8,9,9,1,1,1,5/5/2018,5/5/2018,0,0,0,0,0,1,FALSE,2,Marina,2 - Marina,,3,Full Building Permit,10/12/2016,10/12/2016,RM-2,,2018,0505001A,2015-013465PRJ
2.01408E+11,1000 03RD ST,"TO ERECT 16 STORIES, NO BASEMENT, 198 RESIDENTIAL APARTMENT, OFFICE, RETAIL & PARKING BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED **",0,198,198,198,198,0,3/16/2018,5/7/2018,0,5,16,6,27,171,FALSE,6,Mission Bay,9 - South of Market,,1,Site Permit,8/4/2015,11/19/2020,MB-RA,Incl: On-Site BMR,2018,8715004,2023-007810PRX
2.01603E+11,2127 TAYLOR ST,ADDITION OF 4 UNITS ON BASEMENT FLOOR PER ORDINANCE 162-16 SEISMIC APPLICATION #201511041676.,6,10,10,4,4,4,5/7/2018,5/7/2018,0,0,0,0,0,4,FALSE,3,Russian Hill,3 - Northeast,,3,Full Building Permit,11/1/2017,11/1/2017,RM-1,,2018,0073003,2016-004720PRJ
2.01605E+11,462 22ND AV,"COVERT GARAGE INTO (2) ADDITION DWELL UNITS FOR A TOTAL (8) UNITS. UNITS TO BE WITHIN THE (E) BLDG ENVELOPE, PER ORDINANCE NO 30-15. REFER TO P/A 201605046574 FOR SOFT STORY RETROFIT PER SFBC CHAPTER 34B. 2012 IEBC A-4
AREA OF WORK & PATH OF EGRESS OF THE (2) PROPOSED UNITS TO BE SPRINKLERED. PER",6,8,8,2,2,2,5/8/2018,5/8/2018,0,0,0,0,0,2,FALSE,1,Outer Richmond,1 - Richmond,,3,Full Building Permit,9/13/2017,9/13/2017,RM-1,,2018,1523031,2016-008410PRJ
2.01612E+11,164 23RD AV #0,"ADD UNIT PER ORDINANCE NO. 162-16. NEW ACCESSORY DWELLING UNIT IN (E) GARAGE SPACE OF APPROX 545 SF.(423 HABITABLE SPACE) INCLUDING REAR YARD FENCING, LANDSCAPING & PAVING. BLDG COMPLETED SOFT STORY UPGRADE UNDER P/A#2015-0403-2727. Life safety, MEP deferred.",6,7,7,1,1,1,5/9/2018,5/9/2018,0,0,0,0,0,1,FALSE,1,Outer Richmond,1 - Richmond,,3,Full Building Permit,6/19/2017,6/19/2017,RH-2,,2018,1382029,2016-015854PRJ
2.00801E+11,2131 NORTH POINT ST,2 story vertical and horizontal addition. Remove stair from ex. lightwell. Remodel ex. 1st and 2nd floors. CONVERT 1 FAMILY DWELLING TO 2 FAMILY.,1,2,2,1,1,0,5/10/2018,5/10/2018,0,0,0,0,0,1,FALSE,2,Marina,2 - Marina,,3,Site Permit,2/14/2014,10/29/2014,RH-3,,2018,0921039,2008.0406
2.01609E+11,351 MANGELS AV,"NEW ACCESSORY UNIT AT GROUND FLOOR. PROVIDE NEW  LIVING ROOM/KITCHEN, NEW BEDROOM AND NEW BATHROOM. NO WORK ON SECOND FLOOR.",1,2,2,1,1,1,5/15/2018,5/15/2018,0,0,0,0,0,1,FALSE,7,West of Twin Peaks,13 - Ingleside,,3,Full Building Permit,9/29/2017,9/29/2017,RH-1,,2018,3089065,2016-013077PRJ
2.01312E+11,701 SILVER AV,ERECT 3 STORY SINGLE FAMILY DWELLING.,0,1,1,1,1,0,5/16/2018,5/16/2018,0,0,0,0,0,1,FALSE,11,Excelsior,12 - South Central,,2,Site Permit,12/19/2014,8/18/2015,RH-1,,2018,5896022,
2.01803E+11,1102 CASTRO ST,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER APP#200903315194 AND 200205297728. ALL WORK IS COMPLETE,2,2,1,-1,-1,0,5/17/2018,5/17/2018,0,0,0,0,0,-1,FALSE,8,Noe Valley,7 - Central,,8,Full Building Permit,3/27/2018,3/27/2018,RH-2,,2018,2804001,
2.01703E+11,253 11TH AV,CREATE (N) DWELLING UNIT FROM EXISTING GROUND LEVEL STORAGE (unpermitted?),2,3,3,1,1,0,5/21/2018,5/21/2018,0,0,0,0,0,1,FALSE,1,Inner Richmond,1 - Richmond,,8,Full Building Permit,5/8/2017,5/8/2017,RM-1,,2018,1422011A,
2.00712E+11,1627 15TH AV,legalize basement including remodel bathroom to comply with NOV# 200707233. Remove wet bar.,1,1,0,-1,-1,0,9/27/2018,9/27/2018,0,0,0,0,0,-1,FALSE,7,Inner Sunset,14 - Inner Sunset,,8,Full Building Permit,12/31/2007,12/31/2007,RH-1,,2018,1928033,
2.01404E+11,41 TEHAMA ST,"TO ERECT 35 STORIES, 3 BASEMENT, 403 RESIDENTIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,M,H-3,S-2)",0,403,403,403,403,0,1/11/2018,5/22/2018,0,0,60,0,60,343,FALSE,6,Financial District/South Beach,9 - South of Market,Transit Center District,1,Site Permit,7/2/2015,11/13/2015,C-3-O(SD),Incl: On-Site BMR,2018,3736190,2013.0256
2.01405E+11,815 TENNESSEE ST,"TO ERECT 5 STORIES, 1 BASEMENT, 69 UNITS RESIDENTIAL WITH PARKING BUILDING.
** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 NOT REQUIRED **",0,69,69,69,69,0,5/2/2018,5/22/2018,0,0,0,10,10,59,FALSE,10,Potrero Hill,9 - South of Market,Central Waterfront (EN),1,Site Permit,6/15/2016,8/31/2016,UMU,Incl: On-Site BMR,2018,4059001A,2013.022
2.01406E+11,166 SPROULE LN,"TO ERECT 3 STORIES, 1 BASEMENT, 2 UNITS CONDOMINIUM BUILDING.",0,2,2,2,2,0,5/22/2018,5/22/2018,0,0,0,0,0,2,FALSE,3,Nob Hill,3 - Northeast,,2,Site Permit,11/4/2015,8/18/2016,RM-3,,2018,0222161,2014.0903
2.01709E+11,4431 24TH ST,REPLACE 2ND DWELLING UNIT: REMOVED UNDER APP#9810438(KITCHEN/BATH) INSTALL WASHER/DRYER. CONVERT STORAGE ROOM AT REAR BUILDING TO OFFICE.,1,2,2,1,1,0,5/23/2018,5/23/2018,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,8,Full Building Permit,9/29/2017,9/29/2017,RH-2,,2018,6502026,
2.01006E+11,5050 MISSION ST,"TO ERECT 6 STORIES, NO BASEMENT, 61 UNITS OF COMMERICAL & RESIDENTIAL MIX USED BUILDING. INCLUDES MEP AND STRUCTURAL. F/A AND SPRINKLERS ON SEPARATE PERMIT.",0,61,61,61,61,0,5/25/2018,5/25/2018,0,0,0,0,0,61,FALSE,11,Outer Mission,12 - South Central,,1,Full Building Permit,2/5/2016,2/5/2016,NCD-EXCELSIOR,,2018,6969001,
2.01502E+11,854 CAPP ST,DEMOLISH SINGLE FAMILY DWELLING RESIDENCE,1,0,0,-1,-1,0,5/25/2018,5/25/2018,0,0,0,0,0,-1,FALSE,9,Mission,8 - Mission,Mission (EN),6,Full Building Permit,5/12/2017,5/12/2017,RTO-M,,2018,3642041,2015-002135PRJ
2.0171E+11,288A FARALLONES ST,LEGALIZE KITCHEN IN A DWELLING UNIT. UNIT LEGALIZATION PER ORD #43-14.,1,2,2,1,1,1,5/25/2018,5/25/2018,0,0,0,0,0,1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,3,Full Building Permit,3/15/2018,3/15/2018,RH-1,,2018,7105014,2017-014398PRJ
2.01305E+11,181 FREMONT ST,"TO ERECT 54 STORIES, 5 BASEMENT, 74 RESIDENTIAL UNITS WITH RETAIL, OFFICE, PARKING BUILDING.",0,74,67,67,67,0,5/8/2018,5/29/2018,0,0,0,0,0,67,FALSE,6,Financial District/South Beach,4 - Downtown,Transit Center District,1,Site Permit,12/26/2013,1/24/2014,C-3-O(SD),Inclu: Fee Payment,2018,3719010,2007.0456
2.01312E+11,151 LIBERTY ST,"EXCAVATE BSMT TO PROVIDE/RELOCATE UNIT 151, ADD NEW GARAGE. PROVIDE NEW HORIZONTAL & VERTICAL ADDITION @ 1ST & 2ND FLOORS.  NEW VERTICAL ADDITION & 3RD FLOOR. COMPLETE STRUCTURAL UPGRADE THROUGHOUT. ADD NEW KITCHEN & BATHROOMS. ** MAHER: ORDINANCE NO# 155-13 REQUIRED; ROUTE TO HEALTH **",1,2,2,1,1,0,5/29/2018,5/29/2018,0,0,0,0,0,1,FALSE,8,Mission,8 - Mission,,3,Site Permit,12/23/2014,5/7/2015,RH-3,,2018,3607036A,Multiple
2.01707E+11,49 BROAD ST,"ADU ORDINANCE# 162-16. CREATE LEGAL 3RD UNIT IN (E) REAR YARD UNATTACHED STORAGE REAR BUILDING. NEW LAUNDRY @ (E) 1ST LEVEL CONVERED AREA. EXTEND (E) 1 HOUR RATED CORRIDOR.  1 BEDROOM, 1 BATH, 1 KITCHEN, 1 STUDY.
** MAHER: N/A **",0,1,1,1,1,1,5/29/2018,5/29/2018,0,0,0,0,0,1,FALSE,11,Oceanview/Merced/Ingleside,13 - Ingleside,,3,Site Permit,3/20/2018,4/2/2018,RH-2,,2018,7112019,2017-010209PRJ
2.01803E+11,269 AVILA ST,"COMPLY WITH NOV COMPLAINT #201721221; REMOVE UNPERMITTED BATHROOM AT GROUND FLOOR,RECENTLY CONSTRUCTED, REMOVE HEAT SOURCE, REVERT 2 ROOMS BACK TO STORAGE PER PLAN.",2,2,1,-1,-1,0,5/29/2018,5/29/2018,0,0,0,0,0,-1,FALSE,2,Marina,2 - Marina,,8,Full Building Permit,3/9/2018,3/9/2018,RH-1,,2018,0441A002,
2.01605E+11,985 CHURCH ST,"PER ORDINANCE# 30-15. ADD A RESIDENTIAL UNIT IN 1ST FLOOR WITH A BEDROOM, A FULL BATH, A KITCHEN, DINING & LIVING AREA. SEPARATED SOFT BLDG PA# 2015/02/05/7657.",6,7,7,1,1,1,5/31/2018,5/31/2018,0,0,0,0,0,1,FALSE,8,Noe Valley,7 - Central,,3,Full Building Permit,4/18/2017,4/18/2017,RM-1,,2018,3619034,2016-006493PRJ
2.01704E+11,1561 07TH AV,"COMPLY W/NOV #201635593 -  LEGALIZE UNAUTHORIZED DWELLING UNIT ON GROUND FLOOR: 1 KITCHEN, 1.5 BATHROOMS, 2 BEDROOMS, 1 LIVING/DINING.",1,2,2,1,1,1,6/1/2018,6/1/2018,0,0,0,0,0,1,FALSE,7,Inner Sunset,14 - Inner Sunset,,3,Full Building Permit,2/1/2018,2/1/2018,RH-2,,2018,1853004E,2017-006460PRJ
2.01805E+11,2131 TAYLOR ST,"THIS PERMIT IS TO CORRECT AN ERROR ON PA 20160927893. THE EXISTING NUMBER OF DWELLING UNITS WAS LEGALLY THREE UNITS AND THE PERMIT IS FOR LEGALAZATION OF A FOURTH DWELLING UNIT IN REAR, PA 201609278931 HAD STATED INCORRECTLY THAT THE EXISTING BUILDING HAD TWO EXISTING DWELLING UNITS. THE CORRECT",3,4,4,1,1,0,6/1/2018,6/1/2018,0,0,0,0,0,1,FALSE,3,Russian Hill,3 - Northeast,,8,Full Building Permit,5/30/2018,5/30/2018,RM-1,,2018,0073003,
2.01408E+11,255 SEACLIFF AV,"TO DEMOLISH 3 STORIES, SINGLE FAMILY DWELLING BUILDING.",1,0,0,-1,-1,0,6/4/2018,6/4/2018,0,0,0,0,0,-1,FALSE,1,Seacliff,1 - Richmond,,6,Full Building Permit,8/11/2017,8/11/2017,RH-1(D),,2018,1308019,2014.131
2.01503E+11,784 KIRKWOOD AV,"BLDG 10. MOHCD RAD PROGRAM. EXTERIOR REHAB-ROOF, WINDOWS, PAINT, STARIS. INTERIOR REHAB: HVAC. ELECT, PLUMB, FIRE SPRINKLER, FIXTURES AND FINISHES. UNIT CONVERSION TO COMMUNITY ROOM. ADDRESS CONSIST: 784, 786, 788, 790 E, F, G, H, I, J, K, L, & 792 KIRKWOOD AVE FOR BLDG 10A & 10B.",12,11,11,-1,-1,0,6/4/2018,6/4/2018,0,0,0,0,0,-1,FALSE,10,Bayview Hunters Point,10 - South Bayshore,,3,Full Building Permit,12/18/2015,12/18/2015,RM-1,100% Affordable,2018,4700031,2015-004628PRJ
